Word	product	level
DNA	Bifunctional DNA-directed RNA polymerase subunit beta-beta'	1
DTW	DTW domain-containing protein YfiP	1
Ddl	Bifunctional enzyme MurC/Ddl	1
Doc	Toxin Doc	1
EA1	S-layer protein EA1	1
EAL	Uncharacterized EAL-domain containing protein YkuI	1
ECA	Putative ECA polymerase	1
ECF	ECF RNA polymerase sigma factor RpoE	1
EPS	EPS I polysaccharide export inner membrane protein EpsE	1
ESX	ESX-1 secretion system protein EccA1	1
Exo	Exo-alpha-(1->6)-L-arabinopyranosidase	1
FHA	FHA domain-containing protein FhaA	1
FMN	FMN-binding protein	1
FeS	FeS cluster assembly protein SufB	1
Fis	DNA-binding protein Fis	1
Fur	Fur leader peptide	1
GMP	Cyclic di-GMP binding protein TDE_0214	1
GST	Uncharacterized GST-like protein SMU_1296	1
GTP	GTP-binding protein EngB	1
Gas	Gas vesicle protein C	1
H.8	Outer membrane protein H.8	1
H47	Microcin H47	1
HB1	DNA-binding protein HB1	1
HC1	Histone H1-like protein HC1	1
HC2	Histone H1-like protein HC2	1
HII	Ribonuclease HII	1
HIT	HIT-like protein CPn_0488/CP_0266/CPj0488/CpB0508	1
HMP	Putative HMP/thiamine import ATP-binding protein YkoD	1
HPr	HPr-like protein Crh	1
HRP	HRP-associated protein	1
HRm	DNA-binding protein HRm	1
HTH	HTH domain-truncated transcriptional regulator QseD	1
Hc1	Histone H1-like protein Hc1	1
Hfq	RNA-binding protein Hfq	1
Hha	Hemolysin expression-modulating protein Hha	1
Hpr	HTH-type transcriptional regulator Hpr	1
Hq1	Histone-like protein Hq1	1
Hrp	Hrp pili protein HrpA	1
IIB	Phosphotransferase enzyme IIB component GlvB	1
III	CRISPR type III-associated RAMP protein Csm3	1
IIS	Type IIS restriction enzyme Eco57I	1
IS1	Insertion element IS1 1 protein InsA	1
IS2	Transposase InsC for insertion element IS2	1
IS3	Transposase InsE for insertion sequence IS3	1
IS4	Transposase InsG for insertion sequence element IS4	1
IS5	Transposase InsH for insertion sequence element IS5-12	1
IVc	Uncharacterized chromosomal cassette SCCmec type IVc protein CR006	1
Ice	Ice nucleation protein	1
IgA	IgA FC receptor	1
IgM	IgM protease	1
Ile	Leu/Ile/Val-binding protein	1
J25	Microcin J25	1
Kch	Voltage-gated potassium channel Kch	1
Ktr	Ktr system potassium uptake protein A	1
L10	50S ribosomal protein L10	1
L11	50S ribosomal protein L11	1
L12	50S ribosomal protein L7/L12	1
L13	50S ribosomal protein L13	1
L14	50S ribosomal protein L14	1
L15	50S ribosomal protein L15	1
L16	50S ribosomal protein L16	1
L17	50S ribosomal protein L17	1
L18	50S ribosomal protein L18	1
L19	50S ribosomal protein L19	1
L20	50S ribosomal protein L20	1
L21	50S ribosomal protein L21	1
L22	50S ribosomal protein L22	1
L23	50S ribosomal protein L23	1
L24	50S ribosomal protein L24	1
L25	50S ribosomal protein L25	1
L27	50S ribosomal protein L27	1
L28	50S ribosomal protein L28	1
L29	50S ribosomal protein L29	1
L30	50S ribosomal protein L30	1
L31	50S ribosomal protein L31	1
L32	50S ribosomal protein L32	1
L33	50S ribosomal protein L33	1
L34	50S ribosomal protein L34	1
L35	50S ribosomal protein L35	1
L36	50S ribosomal protein L36	1
LOG	LOG family protein PA4923	1
LPS	LPS-assembly lipoprotein LptE	1
Leu	Leu/Ile/Val-binding protein	1
Lon	Lon protease	1
Low	Low affinity potassium transport system protein kup	1
Lpp	Major outer membrane lipoprotein Lpp	1
Lsg	Lsg locus putative protein 1	1
Lys	Lys-gingipain	1
M18	Linocin-M18	1
M49	Lantibiotic streptococcin A-M49	1
MEG	Cytochrome P450(MEG)	1
MFS	MFS-type drug efflux transporter P55	1
MIP	Outer membrane protein MIP	1
MVL	Lectin MVL	1
Maf	Maf-like protein A1C_06305	1
Met	Met repressor	1
Mid	Mid-cell-anchored protein Z	1
Mmr	Multidrug resistance protein Mmr	1
Mrr	Mrr restriction system protein	1
NAD	Bifunctional NAD biosynthesis protein NadR	1
NAT	Subtilisin NAT	1
NPr	Phosphocarrier protein NPr	1
NTE	NTE family protein RssA	1
NU1	DNA-packaging protein NU1 homolog	1
Nif	Nif-specific regulatory protein	1
Nnr	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	1
Nod	Nod factor export ATP-binding protein I	1
Non	Non-homologous end joining protein Ku	1
OGR	Prophage P2 OGR protein	1
Omp	Outer membrane protein Omp-EA	1
P55	MFS-type drug efflux transporter P55	1
P65	Proline-rich P65 protein	1
PAM	Plasminogen-binding group A streptococcal M-like protein PAM	1
PCP	PCP degradation transcriptional activation protein	1
PFL	PFL-like enzyme TdcE	1
PGA	Biofilm PGA synthesis protein PgaD	1
PGK	Bifunctional PGK/TIM	1
PHP	PHP domain-containing protein HI_1400	1
PII	Nitrogen regulatory PII-like protein	1
PIN	Uncharacterized PIN and TRAM-domain containing protein TTHA0540	1
PPE	Uncharacterized PPE family immunogenic protein PPE68	1
PQQ	Bifunctional coenzyme PQQ synthesis protein C/D	1
PS1	Protein PS1	1
PTS	Fructose-like PTS system EIIBC component	1
Pal	Pal-related lipoprotein	1
Pat	Acetyltransferase Pat	1
Pcb	Chlorophyll a/b light-harvesting protein Pcb	1
Phd	Antitoxin Phd	1
RCS	RCS-specific HTH-type transcriptional activator RclR	1
RNA	Bifunctional DNA-directed RNA polymerase subunit beta-beta'	1
RTX	RTX-I toxin determinant A from serotypes 1/9	1
Rcp	Protein Rcp	1
Rem	Uncharacterized protein Rem	1
Rex	Redox-sensing transcriptional repressor Rex	1
Rho	Transcription termination factor Rho	1
Rod	Rod shape-determining protein MreB	1
Rpf	Resuscitation-promoting factor Rpf	1
Rtn	Protein Rtn	1
S10	30S ribosomal protein S10	1
S11	30S ribosomal protein S11	1
S12	30S ribosomal protein S12	1
S13	30S ribosomal protein S13	1
S14	30S ribosomal protein S14	1
S15	30S ribosomal protein S15	1
S16	30S ribosomal protein S16	1
S17	30S ribosomal protein S17	1
S18	30S ribosomal protein S18	1
S19	30S ribosomal protein S19	1
S20	30S ribosomal protein S20	1
S21	30S ribosomal protein S21	1
SDS	SDS degradation transcriptional activation protein	1
SHP	Cytochrome c-type protein SHP	1
SOS	Putative SOS response-associated peptidase YedK	1
SOY	Cytochrome P450-SOY	1
SXT	HTH-type transcriptional regulator for conjugative element SXT	1
Sec	Accessory Sec system protein Asp1	1
Ser	tRNA3(Ser)-specific nuclease WapA	1
Sex	Sex pheromone inhibitor determinant	1
Skp	Chaperone protein Skp	1
Smc	Chromosome partition protein Smc	1
Smg	Protein Smg	1
Smp	Protein Smp	1
Soj	Protein Soj homolog	1
Sol	Sol locus transcriptional repressor	1
Spx	Regulatory protein Spx	1
Stp	Multidrug resistance protein Stp	1
Sxy	Protein Sxy	1
Syd	Protein Syd	1
TAR	Uncharacterized protein in TAR-II ttuC' 3'region	1
TDP	"TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase"	1
TIM	Bifunctional PGK/TIM	1
TPR	TPR repeat-containing protein BB_0298	1
Tat	Probable Tat proofreading chaperone DmsD	1
Ter	Macrodomain Ter protein	1
Thr	Leu/Ile/Val/Thr-binding protein	1
Thx	30S ribosomal protein Thx	1
Tir	Tir chaperone	1
Tlp	Protein Tlp homolog	1
Tn7	Transposon Tn7 transposition protein TnsA	1
Tra	Protein Tra	1
Trk	Trk system potassium uptake protein TrkA	1
Two	Two-component system YycF/YycG regulatory protein YycH	1
UDP	UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase	1
USG	USG-1 protein	1
Uro	Uro-adherence factor A	1
Val	Leu/Ile/Val-binding protein	1
Veg	Protein Veg	1
Ves	Protein Ves	1
W83	Lys-gingipain W83	1
XII	Photosystem I reaction center subunit XII	1
Xre	HTH-type transcriptional regulator Xre	1
Yop	Yop proteins translocation lipoprotein J	1
Zrp	HTH-type transcriptional regulator Zrp	1
ada	Regulatory protein ada	1
adh	Uncharacterized protein in adh 3'region	1
alx	Inner membrane protein alx	1
aml	Uncharacterized HTH-type transcriptional regulator in aml 5'region	1
and	DNA replication and repair protein RecF	2
anr	Transcriptional activator protein anr	1
bax	Protein bax	1
bdm	Protein bdm	1
btr	Transcriptional regulatory protein btr	1
cbl	HTH-type transcriptional regulator cbl	1
chi	DNA polymerase III subunit chi	1
cho	Excinuclease cho	1
com	Cryptic Mu-phage protein com	1
cop	Protein cop	1
cps	UPF0053 protein in cps region	1
crr	UPF0346 protein in crr 3'region	1
csd	Putative csd-like protein HI_1343	1
cse	UPF0346 protein in cse 5'region	1
ctb	Group 3 truncated hemoglobin ctb	1
ctc	General stress protein ctc	1
cyt	Cytochrome c-type cyt cy	1
eag	Uncharacterized protein eag	1
ebh	Extracellular matrix-binding protein ebh	1
eep	Probable protease eep	1
emp	Extracellular matrix protein-binding protein emp	1
end	Bifunctional non-homologous end joining protein LigD	2
fgs	Uncharacterized protein in fgs 3'region	1
flk	Flagellar regulator flk	1
flp	Protein flp	1
for	HTH-type transcriptional regulator for conjugative element R391	2
gas	Probable gas vesicle protein GvpJ 1	2
glk	Bifunctional protein glk	1
gns	Protein gns	1
hit	Protein hit	1
ibp	Small heat shock protein ibp	1
igA	Antitoxin igA-2	1
ion	Putative fluoride ion transporter CrcB	2
iso	Insertion element iso-IS1N protein InsA	2
jag	Protein jag	1
kup	Low affinity potassium transport system protein kup	1
lex	Lipooligosaccharide biosynthesis protein lex-1	1
low	Probable low-affinity inorganic phosphate transporter	2
lpp	Uncharacterized lipoprotein lpp	1
map	Protein map	2
med	Transcriptional activator protein med	1
mlc	Protein mlc	1
mmr	Multidrug resistance protein mmr	1
mod	Putative type III restriction-modification system HindVIP enzyme mod	1
mrp	Protein mrp	1
msa	Protein msa	1
mta	HTH-type transcriptional activator mta	1
nac	Nitrogen assimilation regulatory protein nac	1
nif	Ferredoxin-like protein in nif region	1
non	Bifunctional non-homologous end joining protein LigD	2
oar	Protein oar	1
ocs	Protein ocs	1
opa	Protein opa	1
oxo	"TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase"	2
p25	Outer membrane p25	1
p29	Probable ABC transporter ATP-binding protein p29	1
p33	Lipoprotein p33	1
p34	Protein p34	1
p35	Lipoprotein p35	1
p37	High affinity transport system protein p37	1
p72	Immunodominant protein p72	1
pcp	Outer membrane lipoprotein pcp	1
pit	Putative pit accessory protein	1
plc	Uncharacterized lipoprotein in plc 3'region	1
pqq	Uncharacterized protein in pqq-V 5'region	1
psi	DNA polymerase III subunit psi	1
rep	Probable replication protein rep	1
res	Putative type III restriction-modification system HindVIP enzyme res	1
rgg	HTH-type transcriptional regulator rgg	1
rlx	Protein rlx	1
rns	Regulatory protein rns	1
rod	Basal-body rod modification protein FlgD	2
rof	Protein rof	1
rok	Repressor rok	1
ros	Transcriptional regulatory protein ros	1
rot	HTH-type transcriptional regulator rot	1
sap	S-layer protein sap	1
sbi	Immunoglobulin-binding protein sbi	1
sda	Sporulation inhibitor sda	1
sgc	Putative sgc region protein SgcQ	1
slp	Outer membrane protein slp	1
smf	Protein smf	1
sno	Macro domain-containing protein in sno 5'region	1
soy	Ferredoxin soy	1
tas	Protein tas	1
tau	DNA polymerase III subunit gamma/tau	1
tex	Protein tex	1
tpl	Protein tpl	1
trl	Protein trl	1
tsx	Nucleoside-specific channel-forming protein tsx	1
two	Probable two-component-system connector protein AriR	1
usd	Protein usd	1
usf	Protein usf	1
usg	Protein usg	1
uup	ABC transporter ATP-binding protein uup	1
vnf	Ferredoxin-like protein in vnf region	1
wza	Putative polysaccharide export protein wza	1
xcc	Nucleoid-associated protein xcc-b100_3358	1
zam	Acetazolamide conferring resistance protein zam	1
1015	Light-harvesting protein B-1015 alpha chain	2
1057	UPF0070 protein 1057	2
1140	Lantibiotic mutacin-1140	2
3147	Lantibiotic lacticin 3147 A1	2
553I	Cytochrome c-553I	1
8912	Bacteriocin acidocin 8912	2
987P	Fimbrial protein 987P	1
ASM1	Bacteriocin plantarican ASM1	1
ATM1	ATM1-type heavy metal exporter	1
AabA	Amino-acid-binding protein AabA	1
AaeR	HTH-type transcriptional activator AaeR	1
AaeX	Protein AaeX	1
AapP	General L-amino acid transport ATP-binding protein AapP	1
AarA	Rhomboid protease AarA	1
AarD	Transport ATP-binding protein AarD	1
AarP	HTH-type transcriptional activator AarP	1
AaxA	Porin AaxA	1
AbgR	HTH-type transcriptional regulator AbgR	1
AbrB	Protein AbrB	1
AbrI	Type-2 restriction enzyme AbrI	1
AccI	Type-2 restriction enzyme AccI	1
AccR	Transcriptional repressor AccR	1
AcfD	Accessory colonization factor AcfD	1
Acid	Acid shock protein	1
AcnR	HTH-type transcriptional repressor AcnR	1
AcpA	Capsule synthesis positive regulator AcpA	1
AcpB	Capsule synthesis positive regulator AcpB	1
AcpP	Acyl carrier protein AcpP	1
Acr3	Arsenical-resistance protein Acr3	1
AcrA	Multidrug efflux pump subunit AcrA	1
AcrB	Multidrug efflux pump subunit AcrB	1
AcrE	Multidrug export protein AcrE	1
AcrF	Multidrug export protein AcrF	1
AcrR	HTH-type transcriptional regulator AcrR	1
AcrZ	Multidrug efflux pump accessory protein AcrZ	1
ActR	Acid tolerance regulatory protein ActR	1
AcuA	Acetoin utilization protein AcuA	1
AcuB	Acetoin utilization protein AcuB	1
AcuC	Acetoin utilization protein AcuC	1
AcuR	Transcriptional regulator AcuR	1
Acyl	Acyl carrier protein	1
AdaA	Bifunctional transcriptional activator/DNA repair enzyme AdaA	1
AdcA	Zinc-binding lipoprotein AdcA	1
AdcC	Zinc transport system ATP-binding protein AdcC	1
AdcR	Transcriptional regulator AdcR	1
AdeR	Transcriptional activator AdeR	1
AdhR	HTH-type transcriptional regulator AdhR	1
AdiY	HTH-type transcriptional regulator AdiY	1
AdrA	Protein AdrA	1
AegA	Protein AegA	1
AepA	Exoenzymes regulatory protein AepA	1
AepH	Exoenzymes regulatory protein AepH	1
AfsR	Regulatory protein AfsR	1
