*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	locus_tag_prefix	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	*isol_growth_condt	ref_biomaterial	*num_replicons	*estimated_size	*ploidy	*propagation	biotic_relationship	extrachrom_elements	health_disease_stat	host	host_spec_range	pathogenicity	samp_collect_device	samp_mat_process	sample_size	source_material_id	subspecf_gen_lin	trophic_level
A.MELLIFERA.TEX.14-710	Apis mellifera. Texas. Individual name 14-710		Apis mellifera	7460	PRJDB3873					14-710			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.141-4121	Apis mellifera. Texas. Individual name 141-4121		Apis mellifera	7460	PRJDB3873					141-4121			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.142-4123	Apis mellifera. Texas. Individual name 142-4123		Apis mellifera	7460	PRJDB3873					142-4123			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.143-4126	Apis mellifera. Texas. Individual name 143-4126		Apis mellifera	7460	PRJDB3873					143-4126			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.144-4131	Apis mellifera. Texas. Individual name 144-4131		Apis mellifera	7460	PRJDB3873					144-4131			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.145-4137	Apis mellifera. Texas. Individual name 145-4137		Apis mellifera	7460	PRJDB3873					145-4137			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.146-4114	Apis mellifera. Texas. Individual name 146-4114		Apis mellifera	7460	PRJDB3873					146-4114			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.147-4122	Apis mellifera. Texas. Individual name 147-4122		Apis mellifera	7460	PRJDB3873					147-4122			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.148-4128	Apis mellifera. Texas. Individual name 148-4128		Apis mellifera	7460	PRJDB3873					148-4128			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.149-4130	Apis mellifera. Texas. Individual name 149-4130		Apis mellifera	7460	PRJDB3873					149-4130			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
